1273	!	57
1358	"	73
430	">	14
1700	%	30
1641	&	18
1939	'	29
2038	(	187
2162	)	159
383	)、	10
385	)。	11
205	++	25
149	,	245
255	-	222
379	.	372
492	/	307
1408	/">	34
2180	/)	14
598	0	45
333	00	10
1570	000	15
837	1	626
813	10	154
57	100	108
787	1000	24
812	11	44
310	12	39
2054	120	16
814	13	18
817	14	12
1168	15	43
552	150	21
818	16	26
819	18	13
800	2	543
1310	20	68
479	200	71
1129	2000	12
1900	2010	18
2023	2011	11
1902	2012	24
1901	2013	41
1898	2014	63
1897	2015	30
1312	23	10
1308	25	10
374	250	12
924	3	455
1790	30	82
1630	300	38
953	3000	12
1022	4	221
2325	40	34
154	400	12
1131	5	194
473	50	67
958	500	23
1246	6	109
952	60	23
1111	600	12
1350	7	70
1416	70	19
1445	8	89
2320	80	32
445	800	17
1558	9	81
84	90	17
815	:	41
1923	://	288
2144	<	96
1546	</	96
2013	=	147
2056	="	95
2126	>	89
2244	?	72
117	A	30
727	AIESEC	12
1714	AR	11
328	Android	51
345	C	148
390	CM	12
1953	CSS	92
411	D	16
1357	EC	14
2230	Excel	32
494	Facebook	27
2053	GPA	10
909	HELP	10
481	HP	34
1770	HTML	112
991	I	93
18	IELTS	15
993	IT	157
1320	Illustrator	49
1002	It	11
1151	JAVA	14
630	JEEK	15
2266	Japan	10
523	Java	96
100	JavaScript	34
595	Javascript	24
1306	LINE	11
1556	Longchamp	17
1434	MySQL	17
1338	NGO	14
1191	NPO	52
1083	NY	10
1608	OB	17
685	Objective	28
2082	PC	23
1696	PDCA	20
1468	PHP	42
852	PR	65
2078	PV	20
863	Photoshop	63
974	PowerPoint	10
414	Python	17
1982	R	11
1732	Rails	14
1052	Ruby	35
801	SEO	12
22	SNS	70
1921	Sac	11
359	TOEFL	21
1877	TOEIC	108
446	Thank	14
1331	Thanks	17
1417	The	10
1949	This	11
1680	Twitter	29
2265	UI	29
2260	UX	14
194	University	12
1846	WEB	61
875	Web	109
191	Word	13
2160	You	12
640	[	90
548	[/	91
861	]	97
1292	a	150
2258	about	25
1159	all	12
1409	also	14
1115	am	15
1117	an	16
